Spółka,Kwartały,Wartość księgowa,Cena/WK,Zysk na akcję,Cena/Zysk,Przychód,Cena/Przychód,Zysk operacyjny,Cena/Zysk operacyjny,Wartość księgowa Grahama,Cena/Wartość księgowa Grahama,Wartość przedsiębiorstwa,Wartość przedsiębiorstwa/Przychody,Wartość przedsiębiorstwa/EBIT,Wartość przedsiębiorstwa/EBITDA,ROE,ROA,Marża zysku operacyjnego,Marża zysku netto,Marża zysku ze sprzedaży,Marża zysku brutto,Marża zysku brutto ze sprzedaży,Rentowność operacyjna aktywów,Udział zysku netto w przepływach operacyjnych,Wskaźnik źródeł finansowania inwestycji,Zadłużenie ogólne,Zadłużenie kapitału własnego,Zadłużenie długoterminowe,Zadłużenie środków trwałych,Pokrycie aktywów trwałych kapitałami stałymi,Trwałość struktury finansowania,Zastosowanie kapitału obcego,Wskaźnik ogólnej sytuacji finansowej,Zadłużenie netto,Zadłużenie netto / EBITDA,Zadłużenie finansowe netto,Zadłużenie finansowe netto / EBITDA,I stopień pokrycia,II stopień pokrycia,Płynność gotówkowa,Płynność szybka,Płynność bieżąca,Płynność podwyższona,Pokrycie zobowiązań należnościami,Udział kapitału pracującego w aktywach,Pokrycie kosztów kapitałem obrotowym,Rotacja należności,Cykl należności,Cykl zobowiązań,Rotacja zapasów,Cykl zapasów,Rotacja majątku obrotowego,Rotacja majątku trwałego,Rotacja majątku ogółem,Cykl operacyjny,Cykl konwersji gotówki,Data
HEL,2025/Q3,"32,88","0,64","3,50","6,00","83,55","0,25","5,51","3,81","19,81","1,06","20,56","0,25","3,17","3,73","10,64%","6,04%","6,59%","4,19%","6,57%","5,26%","23,33%","9,50%","-47,95%","136,89%","0,42","0,73","0,10","4,09","2,65","0,63","0,55","1,28",118 110 000,"3,64",-2 182 000,"-0,07","2,34","2,58","0,02","0,41","2,12","0,02","0,43","0,40","0,37","11,46",32,79,"2,01",181,"2,08","6,73","1,59",213,134,2025-11-01
HMP,2025/Q1,"0,05","6,62","-0,02",,"0,00","188,64","-0,02",,"0,03","10,83","0,35","185,11","-22,41","-20,99","-40,91%","-38,94%","-881,88%","-1 165,94%","-889,86%","-1 165,94%",,"-29,45%","136,59%","-124,53%","0,05","0,05",,,,,"0,08","0,20",-2 301 000,"2,02",-487 000,"0,43","2,57","2,57","2,45","13,04","13,08","12,56","0,48","0,58","1,86","1,27",287,326,"26,02",14,"0,04","0,14","0,03",301,-25,2025-05-01
HOR,2025/Q1,"5,86","1,38","0,98","8,26","15,46","0,52","1,25","6,47","3,81","2,13","8,57","0,55","5,76","6,84","16,74%","9,09%","8,10%","6,34%","9,06%","7,93%",,"11,60%","168,97%","75,29%","0,44","0,82",,,,,"0,56","1,49",53 235 000,"2,77",6 088 000,"0,32","2,68","2,68","0,12","0,91","1,79","0,14","0,77","0,35","0,28","5,43",67,95,"3,38",108,"2,03","7,71","1,61",175,80,2025-05-01
HPM,2025/Q1,"34,48","5,71","-47,28",,"12,24","16,10","-41,66",,"-142,02",,"343,30","28,06","-12,06","-8,24","-137,12%","-21,00%","-340,51%","-386,44%","-361,98%","-386,44%",,"-18,50%","-2 050,04%","110,27%","0,75","4,89","3,96","1,44","0,97","0,76","6,31","1,10",158 905 000,"-5,25",155 413 000,"-5,14","0,17","0,86","0,59","0,01","0,83","0,59","0,08","-0,02","-0,13","2,86",128,810,"13,36",27,"0,45","0,06","0,05",155,-655,2025-05-01
HPS,2025/Q1,"0,16","2,73","-0,16",,"0,90","0,47","-0,12",,"-0,20",,"0,39","0,43","-5,05","-3,18","-100,05%","-19,00%","-13,47%","-17,24%","-11,96%","-17,09%","1,81%","-14,84%","205,68%","18,33%","0,76","3,99","1,15","2,17","0,95","0,41","1,47","0,58",20 875 000,"-7,60",-1 366 000,"0,50","0,39","0,84","0,09","0,38","0,96","0,09","0,38","-0,02","-0,02","5,70",64,157,"4,15",88,"2,15","2,20","1,09",152,-5,2025-05-01
HRC,2025/Q1,"0,15","4,87","0,01","66,32","0,09","7,85","0,01","58,59","0,04","16,67","0,68","7,51","56,04","56,04","7,34%","6,61%","13,39%","11,83%","-6,11%","12,61%",,"7,49%","267,65%",,"0,06","0,07",,,,,"0,19","0,26",-322 000,"-3,13",-263 000,"-2,55","1,34","1,34","3,06","4,63","5,21","4,74","0,36","0,26","0,44","13,86",26,41,,,"1,70","0,86","0,57",,,2025-05-01
HRL,2024/Q2,"0,06","0,72","-0,00",,"0,00","3 457,65","-0,00",,"-0,04",,"0,07","5 765,65","-1 281,25","-1 281,25","-0,09%","-0,05%","-450,00%","-450,00%","-450,00%","-450,00%",,"-0,05%","450,00%",,"0,49","0,96","0,50","0,02","0,87","0,76","3,90","2,27",9 049 000,"-1 005,44",4 616 000,"-512,89","0,58","0,87","0,03","0,33","0,53","0,03","0,30","-0,11","-188,55","0,00",239 166,804 688,"0,01",29 532,"0,00","0,00","0,00",268 698,-535 990,2024-08-01
HRP,2025/Q1,"10,80","0,41","0,99","4,47","36,94","0,12","2,04","2,17","-12,23",,"19,19","0,52","6,08","9,42","9,19%","2,47%","5,52%","2,68%","6,31%","3,30%","31,19%","5,07%","42,58%","96,39%","0,73","2,72","1,54","1,22","1,19","0,68","1,71","0,80",186 909 000,"9,31",93 996 000,"4,68","0,47","1,19","0,00","0,90","1,34","0,00","0,86","0,11","0,18","3,42",107,127,"4,56",80,"2,19","1,59","0,92",187,60,2025-05-01
HRS,2025/Q1,"2,48","0,38","-0,11",,"3,12","0,30","-0,15",,"-3,21",,"1,75","0,56","4,67","-11,31","-4,36%","-1,55%","-4,96%","-3,47%","-7,18%","-4,41%",,"-2,21%","-25,47%",,"0,65","1,82","0,57","3,75","0,68","0,56","3,47","1,51",140 679 000,"11,01",27 679 000,"2,17","0,44","0,68","0,13","0,38","0,42","0,13","0,25","-0,26","-0,64","3,78",97,371,"23,22",16,"2,32","0,52","0,43",113,-258,2025-05-01
HRT,2025/Q1,"0,11","1,33","-0,02",,"0,46","0,32","-0,01",,"-0,14",,"0,19","0,41","-19,77","-13,04","-19,97%","-5,26%","-3,15%","-4,79%","-6,04%","-4,77%","32,81%","-3,46%","-112,35%","170,67%","0,71","2,70","0,60","1,48","0,73","0,42","1,83","0,79",8 996 000,"-28,47",1 398 000,"-4,42","0,43","0,69","0,11","0,28","0,70","0,11","0,20","-0,16","-0,23","8,68",42,180,"3,60",101,"2,59","1,84","1,08",143,-37,2025-05-01
HUB,2025/Q1,"0,49","0,56","0,05","5,69","0,40","0,68","0,06","4,81","0,20","1,34","0,21","0,53","2,73","3,71","9,88%","7,61%","14,20%","12,01%","12,36%","14,36%",,"9,00%","151,65%","4,41%","0,07","0,09","0,01","60,79","1,54","0,78","0,17","0,21",-14 192 000,"-0,28",-41 787 000,"-0,81","1,26","1,27","1,65","1,51","6,48","1,65","1,59","0,33","0,63","7,25",50,36,"3,68",99,"1,81","1,06","0,67",149,113,2025-05-01
HUG,2025/Q1,"12,55","1,52","4,52","4,23","16,24","1,18","4,95","3,87","11,00","1,74","8,94","0,55","1,61","1,81","36,05%","31,77%","30,49%","27,86%","31,91%","32,92%","73,40%","34,77%","94,16%",,"0,12","0,13","0,02","1,95","8,22","0,90","0,13","1,08",-547 196 473,"-1,64",-611 649 133,"-1,84","8,09","8,22","7,14","8,53","8,53","7,27","1,26","0,79","3,01","8,41",43,38,,,"1,50","8,93","1,29",,,2025-05-01
IBC,2025/Q1,"1,35","1,36","-0,15",,"3,33","0,55","-0,15",,"0,52","3,54","1,71","0,51","-20,10","-11,53","-10,88%","-6,77%","-4,46%","-4,40%","-3,69%","-4,43%",,"-6,87%","-762,07%",,"0,36","0,57",,,,,"0,60","0,93",1 947 000,"-7,58",-348 000,"1,35","1,54","1,54","0,15","0,86","1,67","0,17","0,68","0,24","0,15","7,02",52,63,"6,81",54,"2,95","3,72","1,65",106,43,2025-05-01
ICD,2025/Q1,"2,48","0,63","-0,07",,"0,02","69,56","-0,02",,"-1,21",,"2,46","109,87","-115,72","-115,72","-2,63%","-1,66%","-94,94%","-291,06%","-94,94%","-291,06%",,"-0,54%","-551,32%",,"0,37","0,59","0,36","0,74","0,92","0,86","5,86","3,94",40 471 525,"-68,46",25 101 373,"-42,46","0,67","0,92","0,00","0,45","0,45","0,00","0,45","-0,08","-6,98","0,10",3 824,8 791,,,"0,10","0,01","0,01",,,2025-05-01
ICE,2025/Q1,"10,44","0,79","4,92","1,67","0,02","488,25","4,89","1,68","0,23","35,21","7,44","442,19","1,51","1,52","47,14%","44,21%","29 017,05%","29 221,71%","-3 459,69%","29 200,00%",,"43,90%","-1 038,46%","122,37%","0,06","0,07","0,04","0,19","1,06","0,97","0,75","0,76",-945 000,"-0,03",-5 941 000,"-0,16","1,02","1,06","2,81","3,19","3,19","2,81","0,37","0,06","1,13","0,18",2 051,5 298,,,"0,02","0,00","0,00",,,2025-05-01
ICG,2025/Q1,"0,01","16,72","-0,09",,"0,06","2,82","-0,09",,"-0,03",,"0,18","3,27","-2,52","-2,01","-992,92%","-99,08%","-162,18%","-167,65%","-96,46%","-167,65%",,"-95,85%","453,94%","-9,81%","0,32","3,22","0,08",,"0,70","0,11","13,47","1,38",3 864 000,"-0,42",3 156 000,"-0,34","0,10","0,11","0,00","-1,79","0,08","0,00","0,06","-0,29","-0,30","21,72",17,162,"126,75",3,"7,90","0,40","0,38",20,-142,2025-05-01
IDG,2021/Q2,"0,75","0,33","0,01","47,50","0,00",,"0,00","688,72","0,21","1,17","0,25",,"688,72","688,72","0,70%","0,61%",,,,,,"0,04%",,,"0,13","0,14",,,,,"0,34","0,47",1 786 000,"297,67",,,"1,39","1,39",,"2,94","2,97",,"2,97","0,25",,,,,,,,,,,,2021-08-01
IDH,2025/Q1,"0,52","2,63","0,06","21,19","0,22","6,18","0,05","26,48","-0,02",,"1,40","6,33","21,23","27,11","12,41%","5,99%","23,34%","29,17%","17,60%","29,17%",,"4,79%","-772,82%",,"0,42","0,88","0,05","7,68","1,01","0,50","1,04","0,85",10 527 000,"6,84",763 000,"0,50","0,81","0,85","0,00","0,08","1,01","0,01","0,26","0,00","0,02","1,85",197,650,"0,70",524,"0,56","0,37","0,22",721,71,2025-05-01
IDM,2025/Q1,"0,01","54,88","0,02","26,65","0,08","7,88","0,03","20,53","-0,02",,"0,68","8,19","21,30","21,35","205,95%","39,39%","38,37%","29,56%","29,00%","29,56%",,"51,12%","1 142,27%","2,61%","0,81","4,23","1,72",,"1,16","0,52","1,46","0,63",1 221 000,"0,85",1 175 000,"0,82","0,43","1,16","0,43","1,15","1,15","0,78","0,37","0,07","0,08","7,03",52,133,,,"2,74","3,39","1,51",,,2025-05-01
IFA,2025/Q1,"0,62","9,26","0,01","427,50","0,67","8,55","0,02","333,98","0,61","9,28","5,67","8,50","332,11","332,11","2,17%","1,46%","2,56%","2,00%","2,56%","2,00%",,"1,87%","13,02%",,"0,32","0,48",,,,,"0,33","187,60",495 000,"15,47",-60 000,"-1,88","577,00","577,00","0,11","3,08","3,08","0,11","2,95","0,67","0,95","1,80",203,155,"1,38",265,"0,75","625,00","0,75",468,313,2025-05-01
IFC,2024/Q3,"3,63",,"-0,04",,"0,10",,"0,06",,"3,63",,,,,,"-1,09%","-1,09%","63,55%","-41,13%","63,55%","-41,13%","100,00%","1,69%","4 151,02%",,"0,00","0,00",,,,,"0,00",,-16 363 233,"-59,14",,,,,,"783,20","783,20","783,20",,"1,00",,,,1 114,,,"0,02",,"0,02",,,2024-11-01
IFI,2025/Q1,"2,52","9,35","1,65","14,27","9,44","2,50","1,91","12,36","1,04","22,64","22,89","2,43","11,48","11,99","65,53%","39,26%","20,23%","17,53%","20,48%","21,86%","36,81%","45,31%","101,85%","18,12%","0,24","0,40",,,,,"0,49","0,58",-995 000,"-0,08",-4 522 000,"-0,35","1,17","1,17","0,69","1,37","2,02","1,15","0,81","0,25","0,18","11,47",32,38,,,"5,38","4,36","2,41",,,2025-05-01
IFR,2024/Q3,"0,09","73,17","0,00","2 679,23","0,00","3 055,06","-0,00",,"0,09","73,17","6,68","3 054,26","-8 850,35","-8 850,35","2,73%","2,64%","-34,51%","114,03%","-0,12%","114,03%","100,00%","-0,80%","-512,53%",,"0,03","0,03",,,,,"0,03",,89 861,"-1,73",-119 815,"2,31",,,"0,57","30,98","30,98","0,57","30,33","0,97",,"0,02",15 313,511,,,"0,02",,"0,02",,,2024-11-01
IGT,2025/Q1,"0,26","0,73","-0,00",,"0,21","0,92","-0,00",,"0,07","2,59","-0,58","-2,77","-119,21","438,16","-0,57%","-0,15%","-0,63%","-0,72%","-6,27%","-0,72%",,"-0,14%","-0,65%",,"0,72","2,65",,,,,"0,90","1,18",-1 970 000,"-14,49",-21 588 000,"-158,74","1,31","1,31","1,10","1,09","1,11","1,10","0,00","0,08","0,34","55,25",7,910,"165,95",2,"0,35","1,13","0,26",9,-901,2025-05-01
IMC,2025/Q1,"20,26","1,61","6,66","4,91","22,76","1,44","7,93","4,12","-2,27",,"43,52","1,91","4,35","5,49","32,89%","17,71%","34,83%","29,28%","-2,04%","29,65%","16,04%","21,07%","66,23%","55,26%","0,46","0,86","0,67","1,64","1,51","0,90","1,15","1,04",448 092 635,"1,26",384 184 842,"1,08","0,90","1,51","1,24","1,51","3,88","1,24","0,27","0,30","0,66","18,49",20,71,"1,76",207,"1,45","1,11","0,63",227,156,2025-05-01
IMG,2025/Q1,"0,15","9,16","-0,41",,"0,73","1,91","-0,40",,"0,30","4,73","1,33","1,81","-3,30","-3,30","-268,78%","-119,51%","-54,86%","-55,92%","5,65%","-55,58%",,"-117,24%","-3 135,71%",,"0,14","0,31",,,,,"0,14",,-72 000,"0,06",-226 000,"0,17",,,"1,47","0,37","7,16","1,47","1,84","0,86","0,43","7,26",50,45,"1,09",335,"0,92","9 420,00","0,92",385,340,2025-05-01
IMP,2025/Q1,"1,89","0,70","0,14","9,52","0,01","154,29","0,14","9,46","1,89","0,70","1,30","151,53","9,21","9,29","7,33%","6,89%","1 631,34%","1 620,90%","-716,42%","1 620,90%",,"6,94%","-77,41%","225,47%","0,00","0,00",,,,,"0,00","0,01",-13 764 000,"-12,49",-185 000,"-0,17","16,27","16,27","20,56","1 545,22","1 649,89","1 530,33","119,56","0,94","27,58","0,04",8 575,37,,,"0,00","0,09","0,00",,,2025-05-01
IMR,2025/Q1,"0,02","3,19","-0,00",,"0,02","3,76","-0,00",,"-0,01",,"0,06","4,10","-26,93","-19,58","-18,30%","-8,73%","-20,93%","-21,53%","-2,56%","-21,09%",,"-8,49%","195,29%",,"0,52","1,10",,,,,"1,61","1,14",3 003 000,"-7,88",854 000,"-2,24","0,71","0,71","0,07","0,15","0,62","0,07","0,08","-0,20","-0,50","9,62",38,457,"1,25",292,"0,99","0,43","0,30",330,-127,2025-05-01
IMS,2025/Q1,"1,25","2,94","0,28","12,90","1,90","1,93","0,41","8,98","-0,64",,"4,26","2,24","7,49","10,45","22,79%","10,56%","21,47%","14,95%","21,98%","18,60%",,"15,17%","78,91%","132,57%","0,45","0,97","0,32","1,07","0,77","0,61","2,14","1,26",40 960 000,"2,05",21 001 000,"1,05","0,59","0,77","0,05","0,55","0,69","0,05","0,50","-0,09","-0,19","4,49",81,164,"14,74",25,"3,11","0,98","0,74",106,-58,2025-05-01
INC,2025/Q1,"1,07","2,33","0,04","65,40","0,48","5,19","-0,01",,"0,96","2,61","2,42","5,03","36,43","-309,00","3,57%","1,91%","-1,63%","7,93%","-20,81%","-9,17%","62,58%","-0,39%","-1,93%",,"0,28","0,52","0,24","1,24","2,69","0,66","0,37","0,79",-12 609 000,"-12,60",-1 146 000,"-1,14","2,17","2,69","1,12","5,14","5,14","4,74","0,40","0,61","11,48","3,83",95,293,,,"0,32","1,03","0,25",,,2025-05-01
ING,2025/Q1,"144,57","2,20","33,74","9,42","124,10","2,56","42,54","7,48",,,,,,,"23,34%","1,63%","34,28%","27,19%",,,,"2,06%","67,19%",,"0,93","13,31",,,,,,,173 867 000 000,"29,66",,,,,,,,,,,,"0,09",4 197,5 464,,,,,"0,06",,,2025-05-01
INK,2025/Q1,"52,59","0,70","5,79","6,39","44,81","0,83","7,16","5,17","17,94","2,06","38,07","0,85","4,82","5,31","11,01%","8,40%","15,99%","12,93%","12,79%","16,30%","27,58%","10,39%","-13 310,73%",,"0,22","0,28","0,08","1,38","1,56","0,82","0,45","0,66",100 366 000,"1,74",7 779 000,"0,14","1,45","1,56","0,10","0,75","3,02","0,10","0,65","0,32","0,69","5,76",63,125,"1,35",271,"1,29","1,25","0,64",334,209,2025-05-01
INL,2025/Q1,"7,21","1,17","0,97","8,69","24,43","0,35","1,49","5,65","0,26","32,01","11,23","0,46","5,05","7,51","13,47%","5,23%","6,12%","3,98%","7,83%","5,05%","22,30%","8,04%","42,68%","104,04%","0,60","1,53","0,37","2,41","1,37","0,53","0,98","0,97",234 560 000,"4,11",71 662 000,"1,25","0,99","1,37","0,21","1,09","1,35","0,23","0,85","0,16","0,16","3,08",119,138,"7,97",46,"2,00","3,61","1,28",165,27,2025-05-01
INM,2025/Q1,"0,00","86,21","-0,02",,"0,00","76,11","-0,01",,"-0,11",,"0,18","76,08","-20,63","-13,91","-1 159,48%","-13,00%","-546,86%","-1 023,64%","-648,95%","-1 023,64%",,"-6,94%","279,44%","-257,03%","0,61","54,13","53,04","1,24","1,00","0,61","36,78","0,42",22 827 000,"-12,95",-16 000,"0,01","0,01","0,62","0,03","-29,93","1,35","0,03","1,07","0,00","0,06","1,06",345,444,"193,51",2,"0,89","0,01","0,01",347,-97,2025-05-01
INP,2025/Q1,"12,70","0,54","1,17","5,81","9,29","0,73","1,78","3,81","8,95","0,76","9,60","1,03","4,83","5,38","9,21%","5,14%","19,21%","12,59%","19,22%","17,33%","33,89%","7,84%","-909,20%","-2,90%","0,40","0,72","0,22","0,54","3,35","0,68","0,51","1,40",270 118 000,"3,39",112 280 000,"1,41","2,75","3,35","0,20","0,55","2,82","0,38","0,16","0,51","1,97","11,24",32,275,"0,42",865,"0,52","2,01","0,41",897,622,2025-05-01
INS,2025/Q1,"5,48","0,67","0,48","7,57","2,77","1,32","1,30","2,82","4,99","0,73","3,40","1,23","2,41","2,62","8,82%","3,30%","46,82%","17,45%","46,44%","22,64%",,"8,85%","-61,82%",,"0,58","1,54","1,19","0,02","10,40","0,82","0,63","2,81",58 247 000,"5,79",-1 846 000,"-0,18","4,47","9,80","0,14","6,69","7,08","0,14","6,78","0,79","8,41","0,23",1 575,349,,,"0,20","2,17","0,19",,,2025-05-01
INT,2025/Q1,"3,51","2,22","0,79","9,85","23,05","0,34","1,47","5,30","-0,50",,"9,14","0,40","4,82","6,21","22,55%","6,73%","6,38%","3,43%","3,16%","5,83%",,"12,52%","165,27%","109,71%","0,58","1,93","0,04","8,72","0,77","0,31","1,08","0,69",46 737 000,"3,13",10 559 000,"0,71","0,64","0,66","0,09","0,16","0,94","0,13","0,09","-0,03","-0,02","43,55",8,102,"4,91",74,"3,85","4,47","2,07",82,-20,2025-05-01
IPE,2025/Q1,"4,03","0,81","0,25","13,31","8,32","0,39","0,35","9,31","3,53","0,93","-2,00","-0,24","-4,00","-5,67","6,11%","1,66%","4,24%","2,96%","2,80%","4,45%",,"2,37%","-2,96%","-1,11%","0,71","2,63",,,,,"0,75","4,24",91 924 000,"6,15",-158 011 000,"-10,57","5,65","5,65","0,54","1,33","1,33","0,71","0,62","0,24","0,45","1,47",249,456,,,"0,60","10,89","0,57",,,2025-05-01
IPO,2024/Q3,"0,02","28,62","-0,29",,"1,55","0,37","-0,32",,"-1,19",,"1,26","0,81","10,29","-3,94","-1 416,89%","-17,04%","-20,62%","-18,49%","-19,79%","-19,59%","31,97%","-19,01%","-84,91%","108,09%","0,99","82,14","25,57","1,86","0,44","0,32","3,52","0,06",196 344 000,"13,22",82 512 000,"5,56","0,02","0,44","0,01","0,06","0,41","0,04","0,02","-0,40","-1,10","40,16",9,265,"2,73",134,"3,36","1,28","0,93",143,-122,2024-11-01
IPW,2025/Q1,"-0,43",,"-0,98",,"0,38","10,13","-0,95",,"-0,65",,"3,76","9,91","-3,97","-3,97","229,02%","-53,63%","-249,92%","-258,57%","-79,12%","-286,76%",,"-51,83%","360,05%","3,12%","1,21","-5,17",,,,,"1,42","-2,27",3 308 000,"-2,25",-127 000,"0,09","-1,60","-1,60","0,04","0,02","0,71","0,04","0,01","-0,36","-0,96","11,96",31,1 952,"0,38",956,"0,20","1,47","0,18",987,-965,2025-05-01
IRL,2021/Q4,"6,46","2,67","3,30","5,23","76,89","0,22","7,72","2,24","3,02","5,72","12,63","0,16","1,57","1,64","51,07%","20,31%","10,04%","4,29%","9,93%","5,24%","12,76%","47,54%","139,38%",,"0,60","1,51","0,15","3,35","2,16","0,46","0,76","1,43",35 272 799,"0,22",-92 599 720,"-0,58","1,88","2,16","0,55","1,41","1,45","0,91","0,47","0,25","0,06","28,29",13,36,"166,22",2,"7,86","21,26","5,74",15,-21,2022-02-01
ITB,2025/Q1,"1,28","1,36","-0,28",,"0,44","4,02","-0,27",,"1,04","1,68","2,87","6,59","-11,24","-10,72","-21,64%","-6,65%","-61,49%","-63,84%","-49,91%","-70,07%","35,25%","-6,40%","22,06%",,"0,72","2,35","0,87","0,03","18,90","0,58","0,74","7,49",29 351 000,"-11,19",11 516 000,"-4,39","10,08","18,90","0,08","0,23","2,15","0,08","0,14","0,52","8,03","3,71",98,1 424,"0,09",3 964,"0,13","3,05","0,12",4 062,2 638,2025-05-01
IUS,2025/Q1,"3,35","4,18","0,50","27,89","3,44","4,07","0,66","21,19","-1,52",,"14,00","4,07","10,85","21,19","15,00%","9,79%","19,20%","14,59%","17,80%","18,50%",,"12,89%","52,42%","107,79%","0,32","0,50","0,33","4,36","0,92","0,87","11,32","7,61",10 232 000,"1,29",-2 000,"-0,00","0,67","0,90","0,00","0,05","0,27","0,00","0,25","-0,08","-0,18","21,94",17,55,"302,80",1,"14,51","0,75","0,71",18,-37,2025-05-01
IVE,2025/Q1,"1,35","1,78","0,09","27,21","1,82","1,32","0,18","13,25","-0,01",,"2,97","1,64","6,71","16,42","6,54%","1,65%","9,96%","4,85%","-21,00%","6,58%",,"3,38%","-461,90%","97,55%","0,23","0,91","0,24","8,46","1,07","0,31","1,01","0,33",5 173 000,"2,12",3 152 000,"1,29","0,33","0,41","0,02","-1,77","1,35","0,32","0,58","0,06","0,16","4,14",88,168,"36,28",10,"1,71","0,44","0,35",98,-70,2025-05-01
IVO,2025/Q1,"0,78","1,10","-0,17",,"1,24","0,69","-0,21",,"0,53","1,62","0,55","0,45","3,07","-2,59","-22,30%","-15,63%","-17,26%","-13,99%","-25,06%","-18,35%",,"-19,28%","-196,90%","242,54%","0,15","0,21",,,,,"0,24","0,44",-1 970 000,"-0,76",-4 289 000,"-1,66","1,85","1,85","1,85","3,20","4,24","1,85","2,35","0,47","0,46","3,31",110,42,,,"1,72","2,43","1,01",,,2025-05-01
IWS,2025/Q1,"0,67","1,69","-0,98",,"0,43","2,62","-0,95",,"0,69","1,64","1,12","2,59","-1,17","-1,17","-147,38%","-134,42%","-220,95%","-228,10%","-107,62%","-224,29%",,"-130,22%","256,15%",,"0,05","0,05",,,,,"0,05","4,11",30 000,"-0,02",-19 000,"0,01","88,64","88,64","0,39","3,14","21,59","0,39","3,65","0,94","0,77","3,37",108,29,"1,27",286,"0,38","57,27","0,38",394,365,2025-05-01
IZB,2025/Q1,"74,86","0,49","-3,08",,"206,13","0,18","-0,39",,"-58,54",,"132,78","0,64","15,44","-340,56","-4,11%","-1,34%","-0,19%","-1,49%","-1,35%","-2,97%",,"-0,17%","-12,30%","-215,12%","0,67","2,06","1,18","1,29","1,23","0,71","1,61","0,90",181 803 000,"16,69",121 359 000,"11,14","0,56","1,23","0,16","0,95","1,46","0,17","0,78","0,13","0,15","4,57",80,106,"6,67",55,"1,90","1,73","0,90",135,29,2025-05-01
IZO,2025/Q1,"4,89","0,75","0,38","9,55","8,94","0,41","0,51","7,20","3,48","1,05","2,68","0,30","3,81","5,29","7,82%","5,81%","5,67%","4,28%","7,38%","5,62%","29,83%","7,71%","52,28%","27,83%","0,16","0,21","0,01","43,74","2,71","0,75","0,23","0,55",277 000,"0,10",-3 682 000,"-1,38","2,38","2,40","0,97","1,62","4,53","0,97","1,18","0,54","0,58","6,30",58,47,"2,99",122,"1,95","4,37","1,35",180,133,2025-05-01
IZS,2025/Q1,"8,01","0,35","0,31","9,01","28,38","0,10","0,70","3,96","1,78","1,57","9,53","0,34","8,82","13,54","3,87%","1,27%","2,48%","1,09%","2,35%","1,41%","8,22%","2,89%","-23,63%","37,63%","0,67","2,04","0,12","5,67","1,44","0,37","0,90","1,16",518 106 000,"14,65",220 622 000,"6,24","1,29","1,44","0,03","0,63","1,18","0,03","0,60","0,11","0,11","4,02",91,160,"3,49",104,"1,88","4,48","1,32",195,35,2025-05-01
JJB,2025/Q1,"0,87","1,69","0,03","46,54","0,17","8,55","0,05","31,91","1,00","1,46","1,50","8,76","16,50","32,69","3,62%","2,61%","26,79%","18,37%","11,39%","22,53%",,"3,80%","-17,53%",,"0,09","0,12",,,,,"0,10","0,88",-320 000,"-0,51",245 000,"0,39","9,12","9,12","0,19","-0,43","10,31","1,43","0,26","0,83","9,40","6,70",54,176,"0,20",1 827,"0,20","1,53","0,17",1 881,1 705,2025-05-01
JRC,2025/Q1,"0,14","0,96","0,00","121,88","0,10","1,31","0,00","29,79","0,06","2,17","0,12","1,18","5,15","26,81","0,79%","0,58%","4,40%","1,08%","-21,09%","1,70%",,"2,36%","-8,44%","-50,20%","0,13","0,17","0,03","17,10","1,63","0,76","0,28","0,38",1 380 000,"0,46",-1 730 000,"-0,57","1,34","1,38","0,68","1,43","4,35","0,68","0,79","0,35","0,63","7,49",49,65,"3,47",105,"1,27","0,94","0,54",154,89,2025-05-01
JRH,2025/Q1,"3,27","1,95","-0,60",,"0,00","1 648,00","-0,70",,"3,21","1,99","6,38","1 647,35","-9,07","-9,06","-18,29%","-15,07%","-18 186,36%","-15 444,32%","-9 725,57%","-18 438,07%",,"-17,74%","1 470,89%","-4,51%","0,18","0,21",,,,,"0,18","9,89",-129 747 000,"4,06",-114 000,"0,00","55,30","55,30","0,00","5,59","5,59","5,08","0,45","0,81","8,46","0,01",26 057,100 859,,,"0,00","0,03","0,00",,,2025-05-01
JSW,2025/Q1,"67,75","0,34","-73,20",,"88,14","0,26","-83,65",,"-71,27",,"37,66","0,43","-0,54","-0,45","-108,05%","-42,99%","-94,90%","-83,05%","-30,29%","-96,73%","-16,42%","-49,12%","744,46%","-4,18%","0,58","1,46","0,55","2,08","0,74","0,62","3,61","1,71",10 470 300 000,"-1,27",1 751 800 000,"-0,21","0,47","0,74","0,11","0,32","0,45","0,15","0,16","-0,20","-0,38","7,15",51,290,"10,67",34,"2,56","0,56","0,46",85,-205,2025-05-01
JWW,2025/Q1,"3,64","0,84","0,44","7,01","12,47","0,24","0,56","5,40","2,26","1,35","2,92","0,23","3,83","5,17","11,96%","5,87%","4,53%","3,49%","4,56%","4,34%",,"7,60%","-219,48%",,"0,51","1,03","0,05","6,79","2,73","0,51","0,62","1,63",36 657 000,"4,37",-1 462 000,"-0,17","2,61","2,73","0,12","1,67","1,67","0,12","1,32","0,33","0,21","2,98",123,100,,,"2,11","10,13","1,75",,,2025-05-01
K2P,2025/Q1,"0,48","2,31","-1,43",,"0,41","2,65","-1,41",,"-0,29",,"1,10","2,65","-0,78","-0,78","-299,45%","-121,08%","-340,56%","-344,77%","-21,34%","-344,98%",,"-119,61%","473,66%",,"0,60","1,47",,,,,"1,70","1,06",3 985 000,"-0,50",-4 000,"0,00","0,62","0,62","0,00","0,23","0,59","0,00","0,23","-0,25","-0,58","2,56",143,603,"0,49",740,"0,35","0,54","0,21",883,280,2025-05-01
