Spółka,Rok,Data publikacji,Przepływy pieniężne z działalności operacyjnej,Amortyzacja,Przepływy pieniężne z działalności inwestycyjnej,CAPEX (niematerialne i rzeczowe),Przepływy pieniężne z działalności finansowej,Emisja akcji,Dywidenda,Skup akcji,Płatności z tytułu umów leasingu,Przepływy pieniężne razem,Free Cash Flow,Przepływy operacyjne razem
AGROTON,2010,,-5297.0,16673.0,-31390.0,10650.0,-21712.0,0.0,0.0,,,-58399.0,-15947.0,
AGROTON,2011,,-7843.0,15074.0,-89813.0,99481.0,110286.0,0.0,0.0,0.0,,12631.0,-107323.0,
AGROTON,2012,,217917.0,23628.0,-210891.0,202398.0,-31421.0,0.0,0.0,0.0,,-24394.0,15520.0,
AGROTON,2013,,70454.0,12488.0,-67680.0,16439.0,-10409.0,0.0,0.0,0.0,,-7635.0,54014.0,
AGROTON,2014,,20577.0,13552.0,-22025.0,1676.0,0.0,0.0,0.0,0.0,,-1448.0,18900.0,
AGROTON,2015,,40240.0,9792.0,-4365.0,2442.0,-18979.0,0.0,0.0,0.0,,16896.0,37798.0,
AGROTON,2016,,44012.0,9278.0,-7611.0,7172.0,-22113.0,0.0,0.0,0.0,,14289.0,36841.0,
AGROTON,2017,,36206.0,4000.0,-16077.0,14336.0,0.0,0.0,0.0,0.0,,20129.0,21870.0,
AGROTON,2018,,66227.0,4192.0,-24837.0,24837.0,-9369.0,0.0,0.0,0.0,,32021.0,41391.0,
AGROTON,2019,,61789.0,23751.0,-57463.0,24005.0,-53145.0,0.0,0.0,0.0,9601.0,-48819.0,28183.0,
AGROTON,2020,,112173.0,22133.0,-33100.0,14135.0,-20536.0,0.0,0.0,0.0,7055.0,58537.0,90983.0,
AGROTON,2023,,,,,,,,,,,0.0,0.0,
AIRWAY-MEDIX,2013,,-1253.0,370.0,0.0,0.0,1216.0,0.0,0.0,,,-37.0,-1253.0,
AIRWAY-MEDIX,2014,,-8067.0,1852.0,-621.0,21.0,9037.0,6000.0,0.0,0.0,,349.0,-8088.0,
AIRWAY-MEDIX,2015,,-1100.0,10.0,-4400.0,5026.0,4544.0,0.0,0.0,0.0,,-956.0,-6126.0,
AIRWAY-MEDIX,2016,,-3027.0,15.0,-5455.0,5457.0,8490.0,0.0,0.0,0.0,,8.0,-8484.0,
AIRWAY-MEDIX,2017,,-3686.0,17.0,8801.0,5151.0,-2008.0,0.0,0.0,0.0,,3107.0,-8837.0,
AIRWAY-MEDIX,2018,,-3110.0,0.0,-3320.0,3320.0,4064.0,0.0,0.0,0.0,0.0,-2366.0,-6430.0,
AIRWAY-MEDIX,2019,,4983.0,0.0,-6718.0,6718.0,1397.0,0.0,0.0,0.0,204.0,-338.0,-1939.0,
AIRWAY-MEDIX,2020,,-2248.0,0.0,-5016.0,5016.0,8726.0,0.0,0.0,0.0,215.0,1462.0,-7479.0,
AIRWAY-MEDIX,2021,,-5853.0,0.0,0.0,0.0,3713.0,0.0,0.0,0.0,0.0,-2140.0,-5853.0,
AIRWAY-MEDIX,2022,,-442.0,0.0,-130.0,130.0,550.0,0.0,0.0,0.0,0.0,-22.0,-572.0,
AIRWAY-MEDIX,2023,,-4195.0,0.0,0.0,0.0,4848.0,2907.0,0.0,0.0,0.0,653.0,-4195.0,
AIRWAY-MEDIX,2024,,-7590.0,82.0,-72.0,19.0,9135.0,0.0,0.0,0.0,0.0,1473.0,-7609.0,
